STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/7/2000,0,,,44,53,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/8/2000,0.04,,,45,47,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/9/2000,0.05,,,46,51,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/10/2000,0.1,,,46,56,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/11/2000,0.03,,,44,49,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/12/2000,0,,,42,47,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/13/2000,0.46,,,50,58,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/14/2000,0.03,,,43,49,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/15/2000,0.04,,,42,50,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/16/2000,0.22,,,46,51,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/17/2000,0.05,,,43,46,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/18/2000,0.18,,,45,50,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/19/2000,0,,,42,46,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/20/2000,0,,,41,49,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/21/2000,0,,,49,55,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/22/2000,0.44,,,46,52,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/23/2000,0,,,45,51,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/24/2000,0,,,45,54,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/25/2000,0,,,45,51,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/26/2000,0,,,47,58,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/27/2000,0.06,,,46,50,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/28/2000,0.01,,,44,50,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/29/2000,0.01,,,44,52,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/30/2000,0,,,48,58,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",3/31/2000,0,,,52,62,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/1/2000,0,,,55,64,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/2/2000,0,,,53,63,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/3/2000,0,,,56,68,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/4/2000,0,,,47,54,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/5/2000,0.02,,,45,49,40
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/6/2000,0.12,,,45,50,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/7/2000,0,,,49,59,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/8/2000,0,,,52,62,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/9/2000,0,,,51,55,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/10/2000,0,,,53,63,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/11/2000,0,,,57,68,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/12/2000,0,,,58,67,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/13/2000,0.35,,,54,59,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/14/2000,0.14,,,49,52,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/15/2000,0.13,,,51,56,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/16/2000,0,,,49,53,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/17/2000,0,,,53,62,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/18/2000,0,,,53,63,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/19/2000,0,,,53,60,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/20/2000,0,,,56,64,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/21/2000,0.1,,,55,63,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/22/2000,0.01,,,49,54,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/23/2000,0.1,,,45,52,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/24/2000,0,,,45,55,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/25/2000,0.34,,,48,53,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/26/2000,0,,,52,62,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/27/2000,0.07,,,52,61,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/28/2000,0.1,,,47,52,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/29/2000,0,,,47,56,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",4/30/2000,0,,,56,65,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/1/2000,0.16,,,55,62,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/2/2000,0.02,,,56,63,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/3/2000,0.24,,,51,56,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/4/2000,0.24,,,49,54,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/5/2000,0.08,,,48,53,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/6/2000,0,,,49,59,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/7/2000,0,,,52,62,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/8/2000,0.12,,,50,54,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/9/2000,0.74,,,48,52,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/10/2000,0.61,,,48,53,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/11/2000,0,,,50,57,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/12/2000,0,,,50,58,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/13/2000,0,,,55,62,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/14/2000,0,,,63,73,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/15/2000,0,,,60,70,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/16/2000,0,,,59,69,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/17/2000,0,,,54,59,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/18/2000,0.4,,,55,62,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/19/2000,0,,,58,64,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/20/2000,0,,,57,61,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/21/2000,0.09,,,60,67,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/22/2000,0,,,57,63,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/23/2000,0,,,57,63,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/24/2000,0,,,56,66,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/25/2000,0,,,53,62,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/26/2000,0.18,,,55,63,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/27/2000,0.17,,,57,63,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/28/2000,0.07,,,55,61,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/29/2000,0.08,,,55,60,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/30/2000,0.03,,,50,52,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",5/31/2000,0.04,,,53,57,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/1/2000,0,,,58,68,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/2/2000,0,,,58,67,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/3/2000,0,,,64,79,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/4/2000,0,,,69,83,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/5/2000,0.01,,,60,66,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/6/2000,0.1,,,57,62,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/7/2000,0.05,,,55,58,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/8/2000,0.15,,,57,63,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/9/2000,0.1,,,54,60,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/10/2000,0.06,,,53,59,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/11/2000,0.56,,,51,55,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/12/2000,0.55,,,57,62,52
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/13/2000,0,,,59,66,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",6/14/2000,0,,,58,62,54
